楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
3技,1979 斥,65.28453,60.91759,69.64826,0.00195,0.00202,0.00188,96091.1844,96058.66119,96129.12741,95997.49044,95961.42811,96038.96729,6273267.43,5851661.975,6695226.896,187.38792,194.46617,180.32024
3技,1980 斥,65.63425,61.22952,70.03662,0.00184,0.00191,0.00178,96354.05778,96330.62407,96382.12356,96265.21593,96238.86381,96296.19585,6324126.261,5898278.262,6750278.509,177.6837,183.52052,171.85543
3技,1981 斥,65.99611,61.58058,70.41006,0.00174,0.00179,0.00169,96599.40582,96583.95442,96618.75381,96515.19367,96497.38623,96536.89431,6375185.118,5947695.789,6802931.889,168.4243,173.13639,163.71899
3技,1982 斥,66.35388,61.93728,70.76957,0.00165,0.00169,0.00161,96828.37932,96819.91225,96840.05818,96748.58203,96738.26689,96762.1063,6424938.823,5996762.117,6853328.995,159.59459,163.29072,155.90375
3技,1983 斥,66.70373,62.29103,71.1161,0.00156,0.00159,0.00153,97042.0551,97039.67396,97047.01215,96966.46555,96962.69376,96972.81123,6473066.994,6044700.921,6901605.324,151.17911,153.9604,148.40182
3技,1984 斥,67.13617,62.74065,71.52805,0.0014,0.00144,0.00136,97368.44287,97330.57668,97411.45686,97300.20281,97260.32315,97345.22667,6536944.48,6106583.347,6967651.613,136.48011,140.50705,132.46039
3技,1985 斥,67.55267,63.18081,71.91835,0.00126,0.00131,0.00121,97658.87402,97593.01036,97731.11664,97597.29421,97528.92121,97672.04215,6597117.349,6166004.981,7028660.991,123.15962,128.1783,118.14898
3技,1986 斥,68.0359,63.71803,72.34808,0.00113,0.00119,0.00107,97872.75908,97811.43801,97940.57381,97817.42145,97753.20854,97888.12434,6658861.144,6232352.182,7085812.208,110.67527,116.45894,104.89894
3技,1987 斥,68.50177,64.24149,72.75682,0.00101,0.00108,0.00095,98067.19107,98010.09332,98130.80656,98017.47777,97957.19838,98084.27158,6717776.536,6296314.108,7139685.692,99.42661,105.78988,93.06995
3技,1988 斥,68.92873,64.70708,73.14467,0.00093,0.001,0.00086,98213.26605,98150.53213,98283.41972,98167.70692,98101.51631,98241.31385,6769715.309,6351033.975,7188908.3,91.11825,98.03165,84.21174
3技,1989 斥,69.34432,65.16858,73.51401,0.00085,0.00092,0.00077,98348.34469,98281.08154,98423.63011,98306.59607,98235.66535,98385.54565,6819898.942,6404838.986,7235515.395,83.49724,90.83237,76.16893
3技,1990 斥,69.75645,65.54721,73.95863,0.00078,0.00086,0.0007,98484.10327,98406.07841,98571.75997,98445.60576,98363.77747,98537.06212,6869901.688,6450243.605,7290232.008,76.99502,84.60187,69.3957
3技,1991 斥,70.16713,65.91911,74.40725,0.00072,0.0008,0.00064,98608.69177,98522.00481,98705.99732,98573.19222,98482.60933,98674.38988,6919089.266,6494482.797,7344441.426,70.9991,78.79097,63.21488
3技,1992 斥,70.54011,66.33621,74.73716,0.00067,0.00074,0.0006,98722.53262,98647.08009,98807.8424,98689.52607,98610.49221,98778.41388,6963897.884,6543873.78,7384617.836,66.01311,73.17575,58.85706
